(8001, datetime.date(2024, 2, 5), 53, 130, 1331, 311, 2030)
(8002, datetime.date(2024, 2, 21), 55, 131, 1441, 312, 2031)
(8003, datetime.date(2024, 2, 18), 52, 132, 1551, 313, 2032)
(8004, datetime.date(2024, 2, 7), 53, 133, 1661, 314, 2033)
(8005, datetime.date(2024, 1, 6), 54, 134, 1771, 315, 2034)
(8006, datetime.date(2024, 2, 12), 55, 135, 1881, 316, 2035)
(8007, datetime.date(2024, 2, 20), 56, 136, 1991, 317, 2036)
(8008, datetime.date(2024, 1, 18), 57, 137, 2001, 318, 2037)
(8009, datetime.date(2024, 1, 29), 58, 138, 2111, 319, 2038)
(8012, datetime.date(2024, 2, 12), 61, 121, 2322, 302, 2021)
